Budget,IMD_Rating,No_of_reviewers,censor_board_rating,cumm_gross,genre1,genre2,genre3,genre4,gross_USA,keywords_list,movie_name,production_company,release_date,run_time,star1,star2,star3,star4,star5,summary,writer1,writer2,writer3,year
4500000,8.3,690887,R,7390108,Drama,,,,3635482,"drug addiction,heroin,sex show,female nudity",Requiem for a Dream," Artisan Entertainment, Thousand Words, Sibling Productions See more »      ","15 December 2000 (USA)
",1h42min,Ellen Burstyn,Jared Leto,Jennifer Connelly,,,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,Hubert Selby Jr.,Hubert Selby Jr.,1 more credit,2000
700000000,8.5,117000,NotRated,310000000,Action,Biography,Drama,,12391761,"small town,father daughter relationship,male objectification,bare chested male",Dangal," Aamir Khan Productions, UTV Motion Pictures, Walt Disney Pictures See more »      ","21 December 2016 (USA)
",2h41min,Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh,,,"Former wrestler <a href=""/name/nm10059137/?ref_="">Mahavir Singh Phogat</a> and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.",Piyush Gupta,Shreyas Jain,3 more credits,2016
,8.4,137548,PG,21897373,Drama,Family,,,1223869,"papadum,man's best friend,short haired woman,female masculine short hair",Taare Zameen Par," Aamir Khan Productions, PVR Pictures See more »      ","21 December 2007 (India)
",2h45min,Darsheel Safary,Aamir Khan,Tisca Chopra,,,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",Amole Gupte,Amole Gupte,,2007
550000000,8.4,293739,PG-13,80000000,Comedy,Drama,,,6532908,"papadum,hairy chest,against the system,suicide",3 Idiots, Vinod Chopra Productions See more »      ,"25 December 2009 (India)
",2h50min,Aamir Khan,Madhavan,Mona Singh,,,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",Rajkumar Hirani,Abhijat Joshi,3 more credits,2009
15000000,8.3,238215,PG,77324144,Adventure,Biography,Drama,,44824144,"ottoman empire,british military,arab,desert",Lawrence of Arabia, Horizon Pictures (II) See more »      ,"11 December 1962 (UK)
",3h36min,Peter O'Toole,Alec Guinness,Anthony Quinn,,,"The story of <a href=""/name/nm0493042/?ref_="">T.E. Lawrence</a>, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",T.E. Lawrence,Robert Bolt,1 more credit,1962
12000000,8.3,533277,G,190700000,Adventure,Sci-Fi,,,56954992,"monolith,star child,human versus computer,number in title",2001: A Space Odyssey," Metro-Goldwyn-Mayer (MGM), Stanley Kubrick Productions See more »      ","12 May 1968 (UK)
",2h29min,Keir Dullea,Gary Lockwood,William Sylvester,,,"After discovering a mysterious artifact buried beneath the lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer HAL 9000.",Stanley Kubrick,Arthur C. Clarke,,1968
20000000,8.3,813129,R,73169222,Drama,Romance,Sci-Fi,,34400301,"memory,loneliness,retrograde narrative,valentine's day",Eternal Sunshine of the Spotless Mind," Focus Features, Anonymous Content, This Is That Productions See more »      ","19 March 2004 (USA)
",1h48min,Jim Carrey,Kate Winslet,Tom Wilkinson,,,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",Charlie Kaufman,Michel Gondry,2 more credits,2004
30000000,8.3,778585,G,373554033,Animation,Adventure,Comedy,,191796233,"toy,rivalry,cowboy,cgi animation",Toy Story," Pixar Animation Studios, Walt Disney Pictures See more »      ","22 November 1995 (USA)
",1h21min,Tom Hanks,Tim Allen,Don Rickles,,,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,John Lasseter,Pete Docter,6 more credits,1995
2200000,8.3,678670,R,,Crime,Drama,Sci-Fi,,26589355,"gang,sexual assault,female full frontal nudity,dystopia",A Clockwork Orange," Warner Bros., Polaris Productions, Hawk Films See more »      ","2 February 1972 (USA)
",2h16min,Malcolm McDowell,Patrick Magee,Michael Bates,,,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",Stanley Kubrick,Anthony Burgess,,1971
77000000,8.3,643672,R,173921954,Comedy,Romance,,,33225499,"female protagonist,paris france,france,montmartre paris",Amélie," Claudie Ossard Productions, Union Générale Cinématographique (UGC), Victoires Productions See more »      ","8 February 2002 (USA)
",2h2min,Audrey Tautou,Mathieu Kassovitz,Rufus,,,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",Guillaume Laurant,Jean-Pierre Jeunet,1 more credit,2001
927262,8.3,125200,Passed,,Crime,Drama,Film-Noir,,5720000,"insurance investigation,murder disguised as accident,insurance,insurance policy",Double Indemnity, Paramount Pictures See more »      ,"6 July 1944 (USA)
",1h47min,Fred MacMurray,Barbara Stanwyck,Edward G. Robinson,,,An insurance representative lets himself be talked into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.,Billy Wilder,Raymond Chandler,1 more credit,1944
2540800,8.3,192934,G,13979088,Comedy,Musical,Romance,,8819028,"national film registry,afi,black and white segues into color,title based on song",Singin' in the Rain, Metro-Goldwyn-Mayer (MGM) See more »      ,"11 April 1952 (USA)
",1h43min,Gene Kelly,Donald O'Connor,Debbie Reynolds,,,A silent film production company and cast make a difficult transition to sound.,Betty Comden,Adolph Green,,1952
1300000,8.3,626390,R,,Crime,Drama,,,28262574,"child prostitution,taxi driver,urban decay,mentally unstable",Taxi Driver," Columbia Pictures Corporation, Columbia Pictures Corporation, Bill/Phillips See more »      ","8 February 1976 (USA)
",1h54min,Robert De Niro,Jodie Foster,Cybill Shepherd,,,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.",Paul Schrader,,,1976
75000000,8.3,1100778,R,313600000,Adventure,Drama,War,,120540719,"revenge,racism,nazi hunter,massacre",Inglourious Basterds," Universal Pictures, The Weinstein Company, A Band Apart See more »      ","21 August 2009 (USA)
",2h33min,Brad Pitt,Diane Kruger,Eli Roth,,,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",Quentin Tarantino,,,2009
30000000,8.3,599746,R,,Drama,War,,,46357676,"military,vietnam war,drill instructor,u.s. marine",Full Metal Jacket," Natant, Stanley Kubrick Productions, Warner Bros. See more »      ","10 July 1987 (USA)
",1h56min,Matthew Modine,R. Lee Ermey,Vincent D'Onofrio,,,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,Stanley Kubrick,Michael Herr,2 more credits,1987
133000,8.3,124244,NotRated,,Drama,,,,36818,"thief,theft,despair,church",Bicycle Thieves," Produzioni De Sica (PDS), Produzioni De Sica See more »      ","13 December 1949 (USA)
",1h29min,Lamberto Maggiorani,Enzo Staiola,Lianella Carell,,,"In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it.",Cesare Zavattini,Luigi Bartolini,7 more credits,1948
2000000,8.3,267773,NotRated,,Crime,Drama,,,13129846,"trial,lawyer,false accusation,based on novel",To Kill a Mockingbird," Universal International Pictures (UI), Pakula-Mulligan, Brentwood Productions See more »      ","16 March 1963 (USA)
",2h9min,Gregory Peck,John Megna,Frank Overton,,,"Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.",Harper Lee,Horton Foote,,1962
250000,8.3,94189,NotRated,,Comedy,Drama,Family,,5450000,"lucifer morningstar character,the little tramp character,national film registry,baby",The Kid, Charles Chaplin Productions See more »      ,"6 February 1921 (USA)
",1h8min,Charles Chaplin,Edna Purviance,Jackie Coogan,,,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",Charles Chaplin,,,1921
5500000,8.3,216198,PG,,Comedy,Crime,Drama,,159600000,"con,con man,caper,scantily clad woman",The Sting," Zanuck/Brown Productions, Universal Pictures See more »      ","25 December 1973 (USA)
",2h9min,Paul Newman,Robert Redford,Robert Shaw,,,Two grifters team up to pull off the ultimate con.,David S. Ward,,,1973
10000000,8.3,754555,R,225933435,Drama,Romance,,,138433435,"professor,genius,original story,friend",Good Will Hunting," Be Gentlemen Limited Partnership, Lawrence Bender Productions, Miramax See more »      ","9 January 1998 (USA)
",2h6min,Robin Williams,Matt Damon,Ben Affleck,,,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",Matt Damon,Ben Affleck,,1997
200000000,8.3,670270,G,1063171911,Animation,Adventure,Comedy,,415004880,"recycling,toy,college,escape",Toy Story 3," Walt Disney Pictures, Pixar Animation Studios See more »      ","18 June 2010 (USA)
",1h43min,Tom Hanks,Tim Allen,Joan Cusack,,,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",John Lasseter,Andrew Stanton,2 more credits,2010
3800000,8.3,236585,R,18309793,Drama,,,,687185,"kindergarten teacher,hunt,gunshot,punched in the face",The Hunt," Danmarks Radio (DR), Det Danske Filminstitut, Eurimages See more »      ","10 January 2013 (Denmark)
",1h55min,Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp,,,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",Tobias Lindholm,Thomas Vinterberg,,2012
6000000,8.3,709290,R,83557872,Comedy,Crime,,,30328156,"diamond,boxer,heist,narrated by character",Snatch," Columbia Pictures Corporation, SKA Films See more »      ","19 January 2001 (USA)
",1h42min,Jason Statham,Brad Pitt,Benicio Del Toro,,,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",Guy Ritchie,,,2000
25000000,8.3,654446,R,65884703,Crime,Drama,,,45598982,"cocaine,cuban refugee,gangster,remake",Scarface, Universal Pictures See more »      ,"9 December 1983 (USA)
",2h50min,Al Pacino,Michelle Pfeiffer,Steven Bauer,,,"In Miami in 1980, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",Oliver Stone,,,1983
600000,8.3,201783,R,,Western,,,,15000000,"mexico,shoulder holster,new mexico desert,alamogordo new mexico",For a Few Dollars More," Produzioni Europee Associate (PEA), Arturo González Producciones Cinematográficas, Constantin Film See more »      ","10 May 1967 (USA)
",2h12min,Clint Eastwood,Lee Van Cleef,Gian Maria Volontè,,,Two bounty hunters with the same intentions team up to track down a Western outlaw.,Sergio Leone,Fulvio Morsella,2 more credits,1965
229575,8.3,455034,PG,5028948,Adventure,Comedy,Fantasy,,1229197,"knight,camelot,king arthur,holy grail",Monty Python and the Holy Grail," Michael White Productions, National Film Trustee Company, Python (Monty) Pictures See more »      ","6 December 1979 (India)
",1h31min,Graham Chapman,John Cleese,Eric Idle,,,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",Graham Chapman,John Cleese,4 more credits,1975
3000000,8.3,140861,NotRated,25000000,Comedy,Drama,Romance,,18600000,"mirror,evidence,christmas,apartment",The Apartment, The Mirisch Corporation See more »      ,"16 September 1960 (France)
",2h5min,Jack Lemmon,Shirley MacLaine,Fred MacMurray,,,"A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",Billy Wilder,I.A.L. Diamond,,1960
6000000,8.3,140798,NotRated,,Drama,Sci-Fi,,,1236166,"robot,revolution,dystopia,social injustice",Metropolis, Universum Film (UFA) See more »      ,"13 March 1927 (USA)
",2h33min,Brigitte Helm,Alfred Abel,Gustav Fröhlich,,,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",Thea von Harbou,Thea von Harbou,,1927
35000000,8.3,487586,R,126216940,Crime,Drama,Mystery,,64616940,"corruption,murder,call girl,arizona",L.A. Confidential," Regency Enterprises, The Wolper Organization, Warner Bros. See more »      ","19 September 1997 (USA)
",2h18min,Kevin Spacey,Russell Crowe,Guy Pearce,,,"As corruption grows in 1950s Los Angeles, three policemen -- one strait-laced, one brutal, and one sleazy -- investigate a series of murders with their own brand of justice.",James Ellroy,Brian Helgeland,1 more credit,1997
500000,8.3,192494,PG-13,24426169,Drama,Thriller,,,7098492,"divorce,alzheimer's disease,court,marital problem",A Separation," Asghar Farhadi Productions, Dreamlab Films, MPA APSA Academy Film Fund See more »      ","29 October 2012 (India)
",2h3min,Payman Maadi,Leila Hatami,Sareh Bayat,,,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,Asghar Farhadi,,,2011
48000000,8.2,624489,PG-13,474171806,Action,Adventure,,,197171806,"holy grail,map,leap of faith,obsession",Indiana Jones and the Last Crusade," Paramount Pictures, Lucasfilm See more »      ","24 May 1989 (USA)
",2h7min,Harrison Ford,Sean Connery,Alison Doody,,,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against <a href=""/name/nm0386944/?ref_="">Adolf Hitler</a>'s Nazis again to stop them obtaining its powers.",Jeffrey Boam,George Lucas,3 more credits,1989
250000,8.3,131601,NotRated,,Crime,Drama,Mystery,,96568,"sword fight,dishonesty,unreliable narration,heavy rain",Rashomon, Daiei Motion Picture Company See more »      ,"26 December 1951 (USA)
",1h28min,Toshirô Mifune,Machiko Kyô,Masayuki Mori,,,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",Ryûnosuke Akutagawa,Akira Kurosawa,1 more credit,1950
175000000,8.3,831162,PG,731342744,Animation,Adventure,Comedy,,293004164,"south america,talking dog,lifted by helium balloon,human dog relationship",Up," Pixar Animation Studios, Walt Disney Pictures See more »      ","29 May 2009 (USA)
",1h36min,Edward Asner,Jordan Nagai,John Ratzenberger,,,"Seventy-eight year old Carl Fredricksen travels to Paradise Falls in his home equipped with balloons, inadvertently taking a young stowaway.",Pete Docter,Bob Peterson,3 more credits,2009
1400000,8.3,105924,NotRated,,Drama,,,,10177,"starlet,meta film,based on short story,famous line",All About Eve, Twentieth Century Fox See more »      ,"27 October 1950 (USA)
",2h18min,Bette Davis,Anne Baxter,George Sanders,,,An ingenue insinuates herself into the lives of an established but aging stage actress and her circle of theater friends.,Joseph L. Mankiewicz,,,1950
150000000,8.2,1176152,PG-13,374218673,Action,Adventure,Thriller,,206852432,"social decay,well,deception,falling down a well",Batman Begins," Warner Bros., Syncopy, DC Comics See more »      ","15 June 2005 (USA)
",2h20min,Christian Bale,Michael Caine,Ken Watanabe,,,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",Bob Kane,David S. Goyer,2 more credits,2005
,8.3,95159,NotRated,,Action,Drama,Thriller,,,"samurai,ronin,bodyguard,one against many",Yojimbo," Kurosawa Production Co., Toho Company See more »      ","13 September 1961 (USA)
",1h50min,Toshirô Mifune,Eijirô Tôno,Tatsuya Nakadai,,,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,Akira Kurosawa,Akira Kurosawa,1 more credit,1961
2883848,8.2,216680,NotRated,,Comedy,Romance,,,25000000,"sex comedy,comedy of errors,disguise,all girl band",Some Like It Hot," Ashton Productions, The Mirisch Corporation See more »      ","14 April 1959 (Japan)
",2h1min,Marilyn Monroe,Tony Curtis,Jack Lemmon,,,"When two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",Billy Wilder,I.A.L. Diamond,2 more credits,1959
13500000,8.2,300860,R,92180910,Biography,Drama,History,,5509040,"hitler,bunker,nazi,third reich",Downfall," Constantin Film, Norddeutscher Rundfunk (NDR), Westdeutscher Rundfunk (WDR) See more »      ","8 April 2005 (USA)
",2h36min,Bruno Ganz,Alexandra Maria Lara,Ulrich Matthes,,,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",Bernd Eichinger,Joachim Fest,2 more credits,2004
14400000,8.2,336117,R,159157447,Drama,Western,,,101157447,"revisionist western,one last job,sadist,revenge",Unforgiven," Warner Bros., Malpaso Productions See more »      ","7 August 1992 (USA)
",2h10min,Clint Eastwood,Gene Hackman,Morgan Freeman,,,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner and a young man.",David Webb Peoples,,,1992
28000000,8.2,711260,R,140767956,Action,Thriller,,,83008852,"one against many,hostage,los angeles california,christmas",Die Hard," Twentieth Century Fox, Gordon Company, Silver Pictures See more »      ","20 July 1988 (USA)
",2h12min,Bruce Willis,Alan Rickman,Bonnie Bedelia,,,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,Roderick Thorp,Jeb Stuart,1 more credit,1988
3000000,8.2,100334,Passed,,Adventure,Drama,Western,,5014000,"mexico,sierra madre mountains,national film registry,afi",The Treasure of the Sierra Madre, Warner Bros. See more »      ,"24 January 1948 (USA)
",2h6min,Humphrey Bogart,Walter Huston,Tim Holt,,,"Fred Dobbs and Bob Curtin, two Americans searching for work in Mexico, convince an old prospector to help them mine for gold in the Sierra Madre Mountains.",John Huston,B. Traven,,1948
60000000,8.2,517654,R,107000000,Crime,Drama,Thriller,,67436818,"gun battle,honor,bank,armored car robbery",Heat," Warner Bros., Regency Enterprises, Forward Pass See more »      ","15 December 1995 (USA)
",2h50min,Al Pacino,Robert De Niro,Val Kilmer,,,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,Michael Mann,,,1995
6800000,8.3,121290,R,12597210,Drama,Mystery,War,,6857096,"twin brother and sister,family relationships,middle east,university",Incendies," micro_scope, TS Productions, Phi Group See more »      ","12 January 2011 (France)
",2h11min,Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette,,,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,Denis Villeneuve,Wajdi Mouawad,2 more credits,2010
,8.3,57667,NotRated,,Drama,,,,60239,"meaning of life,cancer,death,old age",Ikiru, Toho Company See more »      ,"25 March 1956 (USA)
",2h23min,Takashi Shimura,Nobuo Kaneko,Shin'ichi Himori,,,A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.,Akira Kurosawa,Shinobu Hashimoto,1 more credit,1952
23000000,8.3,139085,PG-13,42526091,Biography,Comedy,Drama,,81117186,"musician,segregation,christmas,friendship",Green Book," Participant Media, DreamWorks, Amblin Partners See more »      ","16 November 2018 (USA)
",2h10min,Viggo Mortensen,Mahershala Ali,Linda Cardellini,,,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,Nick Vallelonga,Brian Hayes Currie,1 more credit,2018
18000000,8.2,283798,R,,Biography,Drama,Sport,,49034,"jealousy,rage,domestic violence,violence",Raging Bull, Chartoff-Winkler Productions See more »      ,"19 December 1980 (USA)
",2h9min,Robert De Niro,Cathy Moriarty,Joe Pesci,,,"The life of boxer <a href=""/name/nm0483766/?ref_="">Jake LaMotta</a>, as the violence and temper that leads him to the top in the ring destroys his life outside of it.",Jake LaMotta,Joseph Carter,3 more credits,1980
4000000,8.2,202645,NotRated,,Adventure,Drama,History,,12100000,"tunnel,escape from prison,escape,prisoner of war",The Great Escape," The Mirisch Company, Alpha See more »      ","4 July 1963 (USA)
",2h52min,Steve McQueen,James Garner,Richard Attenborough,,,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,Paul Brickhill,James Clavell,1 more credit,1963
180000,8.3,50172,PG,,Drama,Family,,,925402,"race,late for school,family relationships,neorealism",Children of Heaven, Kanun parvaresh fekri See more »      ,"22 January 1999 (USA)
",1h29min,Mohammad Amir Naji,Amir Farrokh Hashemian,Bahare Seddiqi,,,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",Majid Majidi,,,1997
13500000,8.2,565474,R,87041569,Drama,Fantasy,War,,37634615,"fairy,hiding,maze,spain",Pan's Labyrinth," Estudios Picasso, Wild Bunch, Tequila Gang See more »      ","19 January 2007 (USA)
",1h58min,Ivana Baquero,Ariadna Gil,Sergi López,,,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",Guillermo del Toro,,,2006
6000000,8.2,262643,R,30000000,Drama,Mystery,Thriller,,29200000,"neo noir,murder,adultery,female nudity",Chinatown," Paramount Pictures, Penthouse Video, Long Road Productions See more »      ","20 June 1974 (USA)
",2h10min,Jack Nicholson,Faye Dunaway,John Huston,,,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.",Robert Towne,,,1974
,8.4,64500,"<timedatetime=""PT108M"">1h48min</time>",,Drama,Family,,,,"village,grandfather grandson relationship,father son relationship,death in childbirth",My Father and My Son, Avsar Film See more »      ,"18 November 2005 (Turkey)
",1h48min,Çetin Tekindor,Fikret Kuskan,Hümeyra,,,The family of a left-wing journalist is torn apart after a military coup in 1980's Turkey.,Çagan Irmak,,,2005
3700000,8.2,234282,G,,Animation,Family,Fantasy,,,"magical realism,sister sister relationship,forest spirit,japanese animation",My Neighbor Totoro," Tokuma Japan Communications, Studio Ghibli, Nibariki See more »      ","13 July 1990 (USA)
",1h26min,Hitoshi Takagi,Noriko Hidaka,Chika Sakamoto,,,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",Hayao Miyazaki,,,1988
,8.2,141558,NotRated,,Film-Noir,Mystery,Thriller,,449191,"funeral,betrayal,writer,black market",The Third Man, London Film Productions See more »      ,"12 October 1949 (France)
",1h33min,Orson Welles,Joseph Cotten,Alida Valli,,,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",Graham Greene,Graham Greene,,1949
24000000,8.2,277932,PG,235184110,Animation,Adventure,Family,,4711096,"anime,studio ghibli,steampunk,castle",Howl's Moving Castle," Buena Vista Home Entertainment, DENTSU Music And Entertainment, Mitsubishi See more »      ","17 June 2005 (USA)
",1h59min,Chieko Baishô,Takuya Kimura,Tatsuya Gashûin,,,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",Hayao Miyazaki,Diana Wynne Jones,,2004
11500000,8.2,98295,R,,Action,Drama,,,3522421,"nihilism,wench,whore,father in law daughter in law relationship",Ran," Greenwich Film Productions, Herald Ace, Nippon Herald Films See more »      ","1 June 1985 (Japan)
",2h42min,Tatsuya Nakadai,Akira Terao,Jinpachi Nezu,,,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",Akira Kurosawa,Hideo Oguni,2 more credits,1985
3000000,8.2,60827,NotRated,10000000,Drama,War,,,6000000,"nuremberg trials,judge,nazi,war crime",Judgment at Nuremberg, Roxlom Films Inc. See more »      ,"18 December 1961 (Sweden)
",3h6min,Spencer Tracy,Burt Lancaster,Richard Widmark,,,"In 1948, an American court in occupied Germany tries four Nazi judges for war crimes.",Abby Mann,Abby Mann,,1961
2000000,8.2,170525,R,33965843,Drama,Mystery,Romance,,6390014,"full frontal female nudity,thin woman,leg,football pitch",The Secret in Their Eyes," Tornasol Films, Haddock Films, 100 Bares See more »      ","21 May 2010 (USA)
",2h9min,Ricardo Darín,Soledad Villamil,Pablo Rago,,,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,Eduardo Sacheri,Juan José Campanella,1 more credit,2009
923000,8.2,88246,NotRated,,Adventure,Comedy,Drama,,5450000,"gold,klondike,klondike gold rush,national film registry",The Gold Rush, Charles Chaplin Productions See more »      ,"1925 (Germany)
",1h35min,Charles Chaplin,Mack Swain,Tom Murray,,,A prospector goes to the Klondike in search of gold and finds it and more.,Charles Chaplin,,,1925
3000000,8.2,184166,PG,,Adventure,Drama,War,,44908000,"bridge,jungle,uniform,british soldier",The Bridge on the River Kwai, Horizon Pictures (II) See more »      ,"14 December 1957 (USA)
",2h41min,William Holden,Alec Guinness,Jack Hawkins,,,"After settling his differences with a Japanese P.O.W. camp commander, a British Colonel co-operates to oversee his men's construction of a railway bridge for their captors, while oblivious to a plan by the Allies to destroy it.",Pierre Boulle,Carl Foreman,1 more credit,1957
58000000,8.2,760294,PG-13,313542341,Biography,Drama,,,170742341,"mathematician,mental illness,game theory,nobel prize",A Beautiful Mind," Universal Pictures, DreamWorks, Imagine Entertainment See more »      ","4 January 2002 (USA)
",2h15min,Russell Crowe,Ed Harris,Jennifer Connelly,,,"After <a href=""/name/nm1171285/?ref_="">John Nash</a>, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",Akiva Goldsman,Sylvia Nasar,,2001
,8.6,36850,NotRated,,Crime,Thriller,,,1193046,"blind,pianist,murder,blackmail",Andhadhun," Matchbox Pictures, Viacom18 Motion Pictures See more »      ","5 October 2018 (USA)
",2h19min,Ayushmann Khurrana,Tabu,Radhika Apte,,,A series of mysterious events change the life of a blind pianist who now must report a crime that was actually never witnessed by him.,Arijit Biswas,Yogesh Chandekar,4 more credits,2018
960000,8.2,488190,R,28356188,Comedy,Crime,,,3897569,"gangster,cockney accent,shotgun,hatchet","Lock, Stock and Two Smoking Barrels"," Summit Entertainment, The Steve Tisch Company, SKA Films See more »      ","28 August 1998 (UK)
",1h47min,Jason Flemyng,Dexter Fletcher,Nick Moran,,,"A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns.",Guy Ritchie,,,1998
,8.2,408618,R,,Crime,Drama,,,,"crime epic,casino,gambling,gangster",Casino," Universal Pictures, Syalis DA, Légende Entreprises See more »      ","22 November 1995 (USA)
",2h58min,Robert De Niro,Sharon Stone,Joe Pesci,,,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive, compete against each other over a gambling empire, and over a fast living and fast loving socialite.",Nicholas Pileggi,Nicholas Pileggi,1 more credit,1995
150000,8.2,141348,NotRated,,Drama,Fantasy,,,,"death personified,death,knight,chess",The Seventh Seal, Svensk Filmindustri (SF) See more »      ,"13 October 1958 (USA)
",1h36min,Max von Sydow,Gunnar Björnstrand,Bengt Ekerot,,,"A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",Ingmar Bergman,Ingmar Bergman,,1957
910000,8.2,127171,NotRated,,Crime,Drama,Thriller,,9600000,"thin woman,woman in night gown,night gown,mob",On the Waterfront, Horizon Pictures See more »      ,"22 June 1954 (Japan)
",1h48min,Marlon Brando,Karl Malden,Lee J. Cobb,,,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,Budd Schulberg,Budd Schulberg,1 more credit,1954
15000000,8.2,328329,R,157880842,Crime,Drama,,,54513740,"billboard,police brutality,black comedy,small town","Three Billboards Outside Ebbing, Missouri"," Blueprint Pictures, Film 4, Fox Searchlight Pictures See more »      ","1 December 2017 (USA)
",1h55min,Frances McDormand,Woody Harrelson,Sam Rockwell,,,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,Martin McDonagh,,,2017
