Budget,IMD_Rating,No_of_reviewers,censor_board_rating,cumm_gross,genre1,genre2,genre3,genre4,gross_USA,keywords_list,movie_name,production_company,release_date,run_time,star1,star2,star3,star4,star5,summary,writer1,writer2,writer3,year
1500000,8.5,143513,G,,Comedy,Drama,Romance,,19181,"the little tramp character,national film registry,slapstick comedy,tramp",City Lights, Charles Chaplin Productions See more »      ,"7 March 1931 (USA)
",1h27min,Charles Chaplin,Virginia Cherrill,Florence Lee,,,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",Charles Chaplin,,,1931
950000,8.5,469364,PG,,Drama,Romance,War,,1024560,"nazi,casablanca morocco,anti nazi,french morocco",Casablanca, Warner Bros. See more »      ,"23 January 1943 (USA)
",1h42min,Humphrey Bogart,Ingrid Bergman,Paul Henreid,,,A cynical nightclub owner protects an old flame and her husband from Nazis in Morocco.,Julius J. Epstein,Philip G. Epstein,3 more credits,1942
5000000,8.5,267004,PG-13,,Western,,,,5321508,"harmonica,woman in bathtub,widow,former prostitute",Once Upon a Time in the West," Rafran Cinematografica, San Marco, Paramount Pictures See more »      ","4 July 1969 (USA)
",2h45min,Henry Fonda,Charles Bronson,Claudia Cardinale,,,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Sergio Donati,Sergio Leone,3 more credits,1968
90000000,8.6,144925,PG,326249641,Animation,Action,Adventure,,189078204,"teenage superhero,marvel comics,multiverse,interdimensional travel",Spider-Man: Into the Spider-Verse," Sony Pictures Entertainment (SPE), Columbia Pictures Corporation, Marvel Entertainment See more »      ","14 December 2018 (USA)
",1h57min,Shameik Moore,Jake Johnson,Hailee Steinfeld,,,"Teen Miles Morales becomes Spider-Man of his reality, crossing his path with five counterparts from other dimensions to stop a threat for all realities.",Phil Lord,Rodney Rothman,1 more credit,2018
1500000,8.5,186298,G,,Comedy,Drama,Family,,163245,"actor director writer,music score composed by director,the little tramp character,national film registry",Modern Times, Charles Chaplin Productions See more »      ,"25 February 1936 (USA)
",1h27min,Charles Chaplin,Paulette Goddard,Henry Bergman,,,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,Charles Chaplin,,,1936
35000000,8.5,630208,R,120072577,Biography,Drama,Music,,32572577,"holocaust,pianist,survival,poland",The Pianist," R.P. Productions, Heritage Films, Studio Babelsberg See more »      ","28 March 2003 (USA)
",2h30min,Adrien Brody,Thomas Kretschmann,Frank Finlay,,,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,Ronald Harwood,Wladyslaw Szpilman,,2002
9500000,8.5,662606,R,426480871,Biography,Comedy,Drama,,13182281,"class differences,black white friendship,rich poor,caregiver",The Intouchables," Quad Productions, Ten Films, Canal+ See more »      ","13 July 2012 (India)
",1h52min,François Cluzet,Omar Sy,Anne Le Ny,,,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",Olivier Nakache,Philippe Pozzo di Borgo,1 more credit,2011
90000000,8.5,1059615,R,289847354,Crime,Drama,Thriller,,132384315,"police,mobster,irish mafia,organized crime",The Departed," Warner Bros., Plan B Entertainment, Initial Entertainment Group (IEG) See more »      ","6 October 2006 (USA)
",2h31min,Leonardo DiCaprio,Matt Damon,Jack Nicholson,,,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,William Monahan,Alan Mak,1 more credit,2006
19000000,8.5,918428,PG,381109762,Adventure,Comedy,Sci-Fi,,210609762,"time travel,delorean,time machine,time travel comedy",Back to the Future," Universal Pictures, Amblin Entertainment, U-Drive Productions See more »      ","3 July 1985 (USA)
",1h56min,Michael J. Fox,Christopher Lloyd,Lea Thompson,,,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",Robert Zemeckis,Bob Gale,,1985
102000000,8.5,893863,R,315000000,Action,Sci-Fi,,,204843350,"time travel,liquid metal,future,sequel",Terminator 2: Judgment Day," Carolco Pictures, Pacific Western, Lightstorm Entertainment See more »      ","3 July 1991 (USA)
",2h17min,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,,,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.",James Cameron,William Wisher,,1991
3300000,8.5,601055,R,48982041,Drama,Music,,,13092000,"drummer,conservatory,music school,teacher student relationship",Whiplash," Bold Films, Blumhouse Productions, Right of Way Films See more »      ","20 February 2015 (India)
",1h46min,Miles Teller,J.K. Simmons,Melissa Benoist,,,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,Damien Chazelle,,,2014
1000000,8.5,392348,PG,36888916,Mystery,Thriller,,,36764313,"dog,killing a dog,neighbor,wheelchair",Rear Window, Alfred J. Hitchcock Productions See more »      ,"September 1954 (USA)
",1h52min,James Stewart,Grace Kelly,Wendell Corey,,,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,John Michael Hayes,Cornell Woolrich,,1954
45000000,8.5,818919,G,987483777,Animation,Adventure,Drama,,312900000,"africa,king,lion,unnecessary guilt",The Lion King," Walt Disney Pictures, Walt Disney Feature Animation See more »      ","24 June 1994 (USA)
",1h28min,Matthew Broderick,Jeremy Irons,James Earl Jones,,,"A Lion cub crown prince is tricked by a treacherous uncle into thinking he caused his father's death and flees into exile in despair, only to learn in adulthood his identity and his responsibilities.",Irene Mecchi,Jonathan Roberts,27 more credits,1994
18000000,8.5,799642,PG,389925971,Action,Adventure,,,248159971,"nazi,ark of the covenant,archeologist,indiana jones",Raiders of the Lost Ark," Paramount Pictures, Lucasfilm See more »      ","12 June 1981 (USA)
",1h55min,Harrison Ford,Karen Allen,Paul Freeman,,,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before <a href=""/name/nm0386944/?ref_="">Adolf Hitler</a>'s Nazis can obtain its awesome powers.",Lawrence Kasdan,George Lucas,1 more credit,1981
103000000,8.5,1193064,R,457640427,Action,Adventure,Drama,,187705427,"gladiator,roman empire,slavery,combat",Gladiator," DreamWorks, Universal Pictures, Scott Free Productions See more »      ","5 May 2000 (USA)
",2h35min,Russell Crowe,Joaquin Phoenix,Connie Nielsen,,,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,David Franzoni,David Franzoni,2 more credits,2000
40000000,8.5,1048380,PG-13,109676311,Drama,Mystery,Sci-Fi,,53089891,"rivalry,illusion,obsession,magician",The Prestige," Touchstone Pictures, Warner Bros., Newmarket Productions See more »      ","20 October 2006 (USA)
",2h10min,Christian Bale,Hugh Jackman,Scarlett Johansson,,,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",Jonathan Nolan,Christopher Nolan,1 more credit,2006
31500000,8.5,540123,R,,Drama,War,,,83471511,"vietnam,jungle,vietnam war,secret mission",Apocalypse Now, Zoetrope Studios See more »      ,"15 August 1979 (USA)
",2h27min,Martin Sheen,Marlon Brando,Robert Duvall,,,"During the Vietnam War, Captain Willard is sent on a dangerous mission into Cambodia to assassinate a renegade Colonel who has set himself up as a god among a local tribe.",John Milius,Francis Ford Coppola,1 more credit,1979
9000000,8.5,1017844,R,39723096,Mystery,Thriller,,,25544867,"memory,short term memory,hidden truth,short term memory loss",Memento," Newmarket Capital Group, Team Todd, I Remember Productions See more »      ","25 May 2001 (USA)
",1h53min,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,,,A man with short-term memory loss attempts to track down his wife's murderer.,Christopher Nolan,Jonathan Nolan,,2000
11000000,8.5,702268,R,203630630,Horror,Sci-Fi,,,78900000,"alien,outer space,spaceship,female protagonist",Alien," Brandywine Productions, Twentieth Century-Fox Productions See more »      ","22 June 1979 (USA)
",1h56min,Sigourney Weaver,Tom Skerritt,John Hurt,,,"After a space merchant vessel perceives an unknown transmission as a distress call, its landing on the source moon finds one of the crew attacked by a mysterious lifeform, and they soon realize that its life cycle has merely begun.",Dan O'Bannon,Ronald Shusett,1 more credit,1979
3700000,8.5,191393,NotRated,,Animation,Drama,War,,,"older brother younger sister,homelessness,orphan,shelter",Grave of the Fireflies," Shinchosha Company, Studio Ghibli See more »      ","26 July 1989 (USA)
",1h29min,Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi,,,A young boy and his little sister struggle to survive in Japan during World War II.,Akiyuki Nosaka,Isao Takahata,,1988
5000000,8.5,197317,R,,Drama,,,,11990401,"cinema,flashback,film projectionist,coming of age",Cinema Paradiso," Cristaldifilm, Les Films Ariane, Rai 3 See more »      ","23 February 1990 (USA)
",2h35min,Philippe Noiret,Enzo Cannavale,Antonella Attili,,,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,Giuseppe Tornatore,Giuseppe Tornatore,2 more credits,1988
2000000,8.5,176888,Passed,11000000,Comedy,Drama,War,,5000000,"dictator,invented language,slapstick comedy,barber",The Great Dictator," Charles Chaplin Productions, One Production Company See more »      ","7 March 1941 (USA)
",2h5min,Charles Chaplin,Paulette Goddard,Jack Oakie,,,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,Charles Chaplin,,,1940
1752000,8.4,175857,NotRated,5303175,Drama,Film-Noir,,,5123000,"silent film star,narrated from the grave,butler,jealousy",Sunset Boulevard, Paramount Pictures See more »      ,"29 September 1950 (Australia)
",1h50min,William Holden,Gloria Swanson,Erich von Stroheim,,,"A screenwriter is hired to rework a faded silent film star's script, only to find himself developing a dangerous relationship.",Charles Brackett,Billy Wilder,1 more credit,1950
2000000,8.4,317758,R,77356819,Drama,Thriller,,,11286112,"stasi,political thriller,secret police,spy",The Lives of Others," Wiedemann & Berg Filmproduktion, Bayerischer Rundfunk (BR), Arte See more »      ","30 March 2007 (USA)
",2h17min,Ulrich Mühe,Martina Gedeck,Sebastian Koch,,,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",Florian Henckel von Donnersmarck,,,2006
1800000,8.4,409349,PG,,Comedy,,,,9440272,"war room,u.s. president,bodily fluids,nuclear holocaust",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb," Columbia Pictures Corporation, Hawk Films See more »      ","29 January 1964 (USA)
",1h35min,Peter Sellers,George C. Scott,Sterling Hayden,,,An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.,Stanley Kubrick,Terry Southern,2 more credits,1964
935000,8.4,153187,NotRated,,Drama,War,,,,"trench warfare,french army,french soldier,fear of death",Paths of Glory, Bryna Productions See more »      ,"November 1957 (West Germany)
",1h28min,Kirk Douglas,Ralph Meeker,Adolphe Menjou,,,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",Stanley Kubrick,Calder Willingham,2 more credits,1957
321000000,8.5,602089,PG-13,2048709917,Action,Adventure,Fantasy,,678815482,"death of recurring character,supervillain,superhero,ensemble cast",Avengers: Infinity War," Marvel Studios, Jason Roberts Productions, South Pictures See more »      ","27 April 2018 (USA)
",2h29min,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,,,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,Christopher Markus,Stephen McFeely,14 more credits,2018
19000000,8.4,767161,R,,Drama,Horror,,,44017374,"haunted hotel,identical twins,breaking down a door,labyrinth",The Shining," Warner Bros., Hawk Films, Peregrine See more »      ","13 June 1980 (USA)
",2h26min,Jack Nicholson,Shelley Duvall,Danny Lloyd,,,"A family heads to an isolated hotel for the winter where an evil spiritual presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",Stephen King,Stanley Kubrick,1 more credit,1980
100000000,8.4,1190338,R,425368238,Drama,Western,,,162805434,"racial vengeance,slavery,racial violence,historically inaccurate",Django Unchained," The Weinstein Company, Columbia Pictures Corporation See more »      ","25 December 2012 (USA)
",2h45min,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,,,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",Quentin Tarantino,,,2012
180000000,8.4,891395,G,534767889,Animation,Adventure,Family,,223808164,"robot,obesity,recycling robot,adrift in space",WALL·E," FortyFour Studios, Pixar Animation Studios, Walt Disney Pictures See more »      ","27 June 2008 (USA)
",1h38min,Ben Burtt,Elissa Knight,Jeff Garlin,,,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",Andrew Stanton,Pete Docter,2 more credits,2008
2400000000,8.4,288699,PG-13,159375308,Animation,Adventure,Fantasy,,2375308,"forest,anime,curse,princess",Princess Mononoke," DENTSU Music And Entertainment, Nibariki, Nippon Television Network (NTV) See more »      ","19 December 1997 (USA)
",2h14min,Yôji Matsuda,Yuriko Ishida,Yûko Tanaka,,,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",Hayao Miyazaki,Neil Gaiman,,1997
3000000,8.4,89448,NotRated,16350000,Crime,Drama,Mystery,,8175000,"lawyer,courtroom drama,alibi,london england",Witness for the Prosecution, Edward Small Productions See more »      ,"6 February 1958 (USA)
",1h56min,Tyrone Power,Marlene Dietrich,Charles Laughton,,,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,Agatha Christie,Billy Wilder,2 more credits,1957
3000000,8.4,450857,R,14980005,Action,Drama,Mystery,,707481,"imprisonment,brother sister relationship,revenge,psychological torture",Oldboy," CJ Entertainment, Egg Films, Show East See more »      ","21 November 2003 (South Korea)
",1h41min,Min-sik Choi,Ji-tae Yu,Hye-jeong Kang,,,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",Garon Tsuchiya,Nobuaki Minegishi,4 more credits,2003
250000000,8.4,1366990,PG-13,1084939099,Action,Thriller,,,448139099,"dc comics,terrorist plot,written by director,batman character",The Dark Knight Rises," Warner Bros., Legendary Entertainment, DC Entertainment See more »      ","20 July 2012 (USA)
",2h44min,Christian Bale,Tom Hardy,Anne Hathaway,,,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane.",Jonathan Nolan,Christopher Nolan,3 more credits,2012
18500000,8.4,592197,R,131060248,Action,Adventure,Sci-Fi,,85160248,"alien,rescue mission,soldier,monster",Aliens," Twentieth Century Fox, Brandywine Productions, SLM Production Group See more »      ","18 July 1986 (USA)
",2h17min,Sigourney Weaver,Michael Biehn,Carrie Henn,,,"Ellen Ripley is rescued by a deep salvage team after being in hypersleep for 57 years. The moon that the Nostromo visited has been colonized, but contact is lost. This time, colonial marines have impressive firepower, but will that be enough?",James Cameron,David Giler,4 more credits,1986
15000000,8.4,978502,R,226200000,Drama,,,,130096601,"midlife crisis,drug dealer,adulterous wife,domestic violence",American Beauty," DreamWorks, Jinks/Cohen Company See more »      ","1 October 1999 (USA)
",2h2min,Kevin Spacey,Annette Bening,Thora Birch,,,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,Alan Ball,,,1999
30000000,8.4,272489,R,,Crime,Drama,,,5321508,"doggystyle sex,white panties,topless female nudity,panties pulled down",Once Upon a Time in America," The Ladd Company, Embassy International Pictures, Producers Sales Organization (PSO) See more »      ","1 June 1984 (USA)
",3h49min,Robert De Niro,James Woods,Elizabeth McGovern,,,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",Harry Grey,Leonardo Benvenuti,6 more credits,1984
175000000,8.4,261833,PG,807082196,Animation,Adventure,Comedy,,209726015,"mexico,death,afterlife,day of the dead",Coco," Walt Disney Pictures, Pixar Animation Studios See more »      ","22 November 2017 (USA)
",1h45min,Anthony Gonzalez,Gael García Bernal,Benjamin Bratt,,,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",Lee Unkrich,Jason Katz,4 more credits,2017
14000000,8.4,206063,R,73482661,Adventure,Drama,Thriller,,11487676,"submarine,u boat,tension,claustrophobic setting",Das Boot," Bavaria Film, Radiant Film GmbH, Süddeutscher Rundfunk (SDR) See more »      ","10 February 1982 (USA)
",2h29min,Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann,,,"The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror.",Wolfgang Petersen,Lothar G. Buchheim,,1981
839727,8.3,358585,PG,,Drama,Mystery,,,1585634,"new york,narcissism,materialism,newspaper publisher",Citizen Kane," RKO Radio Pictures, Mercury Productions See more »      ","5 September 1941 (USA)
",1h59min,Orson Welles,Joseph Cotten,Dorothy Comingore,,,"Following the death of a publishing tycoon, news reporters scramble to discover the meaning of his final utterance.",Herman J. Mankiewicz,Orson Welles,,1941
72000000,8.4,880944,R,210409945,Biography,Drama,History,,75600000,"scotland,14th century,revolt,england",Braveheart," Icon Entertainment International, The Ladd Company, B.H. Finance C.V. See more »      ","24 May 1995 (USA)
",2h58min,Mel Gibson,Sophie Marceau,Patrick McGoohan,,,"When his secret bride is executed for assaulting an English soldier who tried to rape her, William Wallace begins a revolt against King Edward I of England.",Randall Wallace,,,1995
2479000,8.3,314976,PG,25000000,Mystery,Romance,Thriller,,3200000,"romantic obsession,1950s,deception,vertigo",Vertigo, Alfred J. Hitchcock Productions See more »      ,"21 July 1958 (Brazil)
",2h8min,James Stewart,Kim Novak,Barbara Bel Geddes,,,A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.,Alec Coppel,Samuel A. Taylor,2 more credits,1958
3101000,8.3,267635,NotRated,22213000,Adventure,Mystery,Thriller,,13275000,"spy,mount rushmore,government agent,fugitive",North by Northwest, Metro-Goldwyn-Mayer (MGM) See more »      ,"26 September 1959 (Japan)
",2h16min,Cary Grant,Eva Marie Saint,James Mason,,,A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.,Ernest Lehman,,,1959
1200000,8.3,809723,R,,Crime,Drama,Thriller,,2832029,"heist gone wrong,nonlinear timeline,robbery,murder",Reservoir Dogs," Live Entertainment, Dog Eat Dog Productions Inc. See more »      ","2 September 1992 (France)
",1h39min,Harvey Keitel,Tim Roth,Michael Madsen,,,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",Quentin Tarantino,Quentin Tarantino,1 more credit,1992
32500000,8.3,848795,PG,572705079,Action,Adventure,Fantasy,,309125409,"death star,villain turns good,rebel,empire",Star Wars: Episode VI - Return of the Jedi, Lucasfilm See more »      ,"25 May 1983 (USA)
",2h11min,Mark Hamill,Harrison Ford,Carrie Fisher,,,"After a daring mission to rescue Han Solo from Jabba the Hutt, the rebels dispatch to Endor to destroy a more powerful Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",Lawrence Kasdan,George Lucas,1 more credit,1983
370000000,8.4,126162,PG,357986087,Animation,Drama,Fantasy,,5017246,"taking skirt off,upskirt,japanese high school girl,hiked skirt",Your Name.," Amuse, CoMix Wave Films, East Japan Marketing & Communications Inc. See more »      ","7 April 2017 (USA)
",1h46min,Ryûnosuke Kamiki,Mone Kamishiraishi,Ryô Narita,,,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",Makoto Shinkai,Makoto Shinkai,1 more credit,2016
,8.3,125134,NotRated,,Crime,Mystery,Thriller,,35566,"psychopath,child murder investigation,serial child killer,big city life",M, Nero-Film AG See more »      ,"31 August 1931 (Sweden)
",1h39min,Peter Lorre,Ellen Widmann,Inge Landgut,,,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",Thea von Harbou,Fritz Lang,,1931
18000000,8.3,331803,R,,Biography,Drama,History,,51973029,"opera,composer,classical composer,1800s",Amadeus," AMLF, The Saul Zaentz Company See more »      ","19 September 1984 (USA)
",2h40min,F. Murray Abraham,Tom Hulce,Elizabeth Berridge,,,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.",Peter Shaffer,Peter Shaffer,,1984
